Time BloodFlow 	Volume hart
0.79	-13.0	0.51	-0.004
0.795	-12.6	0.45	0.008
0.8	-12.0	0.39	0.011
0.805	-11.1	0.33	-0.014
0.81	-9.8	0.28	-0.020
0.815	-8.1	0.24	-0.006
0.82	-6.4	0.20	-0.004
0.825	-4.6	0.18	-0.011
0.83	-2.6	0.16	-0.003
0.835	-0.7	0.16	-0.011
0.84	1.1	0.16	0.005
0.845	2.9	0.18	0.000
0.85	4.5	0.20	0.001
0.855	5.7	0.23	-0.004
0.86	6.9	0.26	-0.001
0.865	7.9	0.30	0.004
0.87	8.6	0.34	-0.024
0.875	9.0	0.38	-0.018
0.88	9.3	0.43	0.017
0.885	7.8	0.46	0.009
0.89	6.1	0.49	-0.013
0.895	5.9	0.52	-0.043
0.9	5.2	0.54	-0.049
0.905	6.0	0.57	-0.031
0.91	6.8	0.60	-0.029
0.915	5.8	0.63	-0.023
0.92	3.6	0.64	-0.022
0.925	1.9	0.65	-0.008
0.93	0.9	0.65	-0.017
0.935	-0.0	0.65	-0.019
0.94	-1.7	0.64	-0.016
0.945	-3.7	0.61	-0.022
0.95	-5.4	0.58	-0.031
0.955	-7.3	0.54	-0.010
0.96	-9.0	0.50	-0.028
0.965	-10.1	0.44	-0.008
0.97	-11.3	0.38	0.021
0.975	-12.0	0.32	0.003
0.98	-12.1	0.26	-0.016
0.985	-12.9	0.20	-0.003
0.99	-14.0	0.12	-0.013
0.995	-14.9	0.05	-0.018
1	-14.5	-0.02	0.014
1.005	-14.6	-0.10	0.021
1.01	-15.2	-0.17	0.022
1.015	-15.5	-0.25	0.044
1.02	-15.3	-0.32	0.047
1.025	-15.2	-0.40	0.058
1.03	-14.7	-0.47	0.059
1.035	-14.3	-0.54	0.060
1.04	-13.8	-0.60	0.049
1.045	-13.0	-0.67	0.055
1.05	-12.2	-0.72	0.058
1.055	-11.6	-0.78	0.056
1.06	-11.2	-0.83	0.064
1.065	-10.5	-0.88	0.074
1.07	-9.8	-0.92	0.065
1.075	-9.2	-0.96	0.043
1.08	-8.6	-1.00	0.053
1.085	-8.1	-1.04	0.065
1.09	-7.8	-1.07	0.021
1.095	-7.4	-1.10	0.021
1.1	-7.3	-1.13	0.003
1.105	-7.2	-1.17	0.022
1.11	-6.9	-1.19	0.014
1.115	-6.5	-1.22	0.002
1.12	-6.2	-1.25	0.019
1.125	-5.5	-1.27	0.028
1.13	-4.8	-1.28	0.016
1.135	-4.9	-1.30	0.011
1.14	-5.3	-1.32	0.014
1.145	-5.3	-1.34	-0.021
1.15	-5.3	-1.36	-0.020
1.155	-5.3	-1.38	0.006
1.16	-4.8	-1.40	0.009
1.165	-4.4	-1.41	0.021
1.17	-4.8	-1.43	0.039
1.175	-5.0	-1.45	0.039
1.18	-5.0	-1.47	0.072
1.185	-5.3	-1.49	0.123
1.19	-5.5	-1.51	0.289
1.195	-5.3	-1.52	0.501
1.2	-5.1	-1.54	0.591
1.205	-5.4	-1.56	0.482
1.21	-5.4	-1.58	0.262
1.215	-5.5	-1.60	-0.026
1.22	-5.7	-1.62	-0.161
1.225	-5.9	-1.64	-0.122
